filename,text
11802_11802_thedallasmorningnews_bodypluralhumanitiesorhleadpluralhumanities_2004-01-01_2004-12-31_626_6_1.json,22nd Wisconsin advisory alumnus alumnus alumnus america announced annual appleton arts attorney attract auxiliary barbara board board board boards bond boone building campaign campaign caroline category center center chairing chairman chairman chief cities city city civic committee committee competitive confident construction contributions coordinator cornerstone corporations cultural cultural cultural culturally currently dallas dallas dallas dallas dallas date deedie diane distinguished distinguished distinguished donors election established executive executive facilities families families families family family family family firm formed foundation foundation foundation foundations founding founding generation generous gift gifts gifts greatest haynes haynes honored humanities improve includes investor jordan jordan joy juanita later law leaders life linda luncheon mail major mankoff mankoff margaret margot medical member member member members members mentor miller number operation organizations organizations organizations past performing philanthropist pledged pledges present president president president quality received religious research sarah science served smu strauss supporter supporters supporting tickets total total transform trustee trustees vin wednesday wife wife years
11802_11802_thedallasmorningnews_bodypluralhumanitiesorhleadpluralhumanities_2006-01-01_2006-12-31_628_12_6.json,active ambitious arts arts arts arts ball baron benefit beta board board board board boards boards brings build building built campaign campaign cattle center chairman chairwoman chairwoman chairwoman chairwoman city city clubcorp complex considered construction construction contribution cornerstone cultural cultural culture dallas dallas dallas dallas dallas daughter dedman dedman dedman dedman dedmans died dramatic education educational eminent enjoy facilities families family family family family family field foundation foundation foundation foundation foundation fundraising generosity gift gift gift growth higher history honor important involved know leaders leaders learn life life lifetime live living mail making making mean medical medical member member named nancy number open outstanding owned performing performing perot phi philanthropists philanthropy pi place place pledged pre project rachael research sciences senior serves significant smu sports successful transformation university university vice wife wife
11802_11802_thedallasmorningnews_bodypluralhumanitiesorhleadpluralhumanities_2006-01-01_2006-12-31_628_2_5.json,California advisory advisory advisory advisory advisory affiliations arts award award awards bachelor board board board board board board board chapter children council cup dallas dallas dallas education fund memberships metroplex oakland outstanding president raisers silver taca trustees trustees volunteer ywca
11802_11802_thedallasmorningnews_bodypluralhumanitiesorhleadpluralhumanities_2009-01-01_2009-12-31_631_7_2.json,address ann arkansas auction barbara benefits carolyn carolyn cathy chairs chairs dallas dallas dean director director director drs ethel evening event executive ext free fund funeral galleria handyman hartford hawkins home honorary honored honoring jan jere judd karen kenneth kim lasts live luncheon luncheon mail mailing major margot marianne martha ministries org oshawkins oshawkins peggy plano ramona receive robin ruth services son sponsors stepping suite susan susie tables texas tickets tri tributes wednesday wednesday westin win
11802_11802_thedallasmorningnews_bodypluralhumanitiesorhleadpluralhumanities_2012-01-01_2012-12-31_634_9_0.json,90th November abstract adventure advisory altshuler anniversary announced arboretum arts arts assemblage award billingsley biographies board board board boards boards boards business campaign celebrating celebration center chair chair chairman chairman children children city closely coke commercial committee community courses created creates creative dallas dallas dallas dallas dallas decades decades director director dyer education estate estess estess eugene ext found foundation founder founding girl graduate headmaster health health health health held held historian histories history holtberg honor humanities humanities includes including including jalonick jordan journalism journalist kaiser leader leadership leadership luncheon management mcdermott medical medicine metal named newspaper nonprofits numerous objects oversees parks payne philanthropy plan practice president president professor psychiatric publisher publishes raised raised real recipients recipients recognition recycling roles sandra sciences sciences sculptures served served served serves serves services sharp smu special stalwart stanton stmark street suburban teaches tickets tobolowsky trails trustees unit volunteer weekly worked worked writes years
11802_11802_thedallasmorningnews_bodypluralhumanitiesorhleadpluralhumanities_2014-01-01_2014-12-31_636_5_3.json,adults algiers annual arts available baron benefit bess bess beth board board boards carolyn cass celebrate chair chair chairs champion city concert cultural darlene dean debbie development dinner direction enloe event event event excellence executive faculty family gayle gayle gene gene girl graduate greggory honorary honoree include including invesco italian italian jackie jacquelin janie jennifer joyce kelly kenneth kim life linda lisa ltdjennifer major maria marjorie martha member mendelssohn office organizations overture party paup peggy penny perform present program rebecca respighi rossini sara seniors served sharon short smu smu smu sponsor sponsor sponsorships staff students supports susan symphony tickets titas tom trustee underwriters wart wednesday women year years
11802_11802_thedallasmorningnews_bodypluralhumanitiesorhleadpluralhumanities_2017-01-01_2017-12-31_639_9_0.json,andkaysie ann ann annual area arejoanne arts arts at214 awards beginning board buy callewart categories catherine cathy chair chairs chairs chief city community contact creative dallas dallas dallas dallas dallashistory diane edith education educational eiseman excellence ext families family fields fund generosity health history history honorary honored honorees host humanities including institute joan joanne jubilee kit leaders leadership leadership leadership luncheon maker margaret margot marnie media melissa mike montgomery mysweetcharity natalie nicole ongoing org org outreach outstanding philanthropy police proceeds recognize respective science serve set shannon small sponsor sports stacey standard stephanie students support thefairmont thursday tiaa tickets visit volunteer year
11802_11802_thedallasmorningnews_bodysciencesorhleadsciences_2004-01-01_2004-12-31_100_169_4.json,40th August August adult adult adult ages anniversary annual annual attend august available barbershop based bat benefit bible bible bible bible blvd book camps catholic catholic catholic catholic celebrate celebrates celebrating celebration cheyenne children children christ christ christmas church church church church church church church church church church church church church church church church class classes classes classes classes classes classes closet clothes columbus columbus comedy communion community concert congregation cost cream dallas dana dance dates david dinner dinners disciple drive egalitarian faith fall families family family fax fellowship festival followed followed following great hall haven heights holy holy ice india interested invites irving items jewish july knights knights learning life luke luke lunch macarthur macarthur masses meditation meditation methodist mitzvah mondays month monthly morning msaturdays musical needs noon noon oak open potluck prayer presbyterian present present program program quarter rabbi reception registration religious religious sanctuary saturday saturday saturday saturday saturdays school school school school school school science science send seoul service services services session shares social south sports stephen stephen stephen study study study suite summer sunday sunday sunday sunday sunday sunday sunday sunday sunday sunday sunday sunday sunday sundays sundays sundays sundays sundays teen thursdays thursdays tickets tuesday tuesdays unaffiliated united volunteers wednesdays wednesdays welcomes worship worship worship worship worship youth youth
11802_11802_thedallasmorningnews_bodysciencesorhleadsciences_2004-01-01_2004-12-31_100_175_6.json,40th August August August August admission adult adult adult adult adults ages ages ages ages ages anniversary annual annual attend august available bat benefit bible bible bible bible bible bible blvd camps camps catholic catholic catholic celebrate celebrates celebrating cheyenne children children children children children christ christ christmas church church church church church church church church church church church church church church church church church class class classes classes classes classes classes classes closet clothes comedy communion community concert congregation contributions cost cost dallas dana dance day deacon dinner disciple discuss discuss donation drive dropped egalitarian english eucharistic faith fall families family fax fellowship festival film followed followed following free friday friday garage grade hall haven heights holy host include india interested invited invites irving items jewish july july july july learning light luke luke lunch lutheran lutheran macarthur macarthur masses meditation meditation methodist ministers mitzvah monday monday monday mondays month morning msaturdays musical new noon noon noon oak older open open parish party popcorn potluck prayer presbyterian program program program program rabbi reception redeemer redeemer registration registration retirement retreat room sale sanctuary saturday saturday saturday saturday saturdays school school school school school school school school school send seoul served served service services services shares sixth smith south spanish sports starring stephen stephen stephen storyteller storytelling study study study suite summer sunday sunday sunday sunday sunday sunday sunday sunday sunday sunday sunday sundays sundays sundays sundays sundays supper teacher teen thursdays thursdays tickets time topics training tuesdays unaffiliated united vacation vacation wednesdays wednesdays welcomes women workshop worship worship worship worship worship years youth youth
11802_11802_thedallasmorningnews_bodysciencesorhleadsciences_2005-01-01_2005-12-31_101_260_6.json,12th January agreement aims board body city city conduct contact contest contest decades dedicated dedicated doctor doctor elisabeth enter exclusively facility field field field field field fins flight frisco frisco frisco frisco frisco grades high honor interest joint later lightweight longtime looking main math member named named named nationwide nonmetal nose offered package partake parts physics pink pink pink pink pink pique preparing presence prize qualifying rocket rocketry schedule school science senior served seventh sponsors standalone street students students students students teacher team teams teams teams turf wife years
